domain,has_privacy,has_cookies,has_legal,has_data_prot,privacy_controller_present,dpo_contact_present,rights_sum,legal_bases_sum,retention_present,recipients_sum,transfer_scope,consent_mechanism,cookies_total,cookies_3p_ratio,cookies_session_ratio,tracker_hit_ratio,req_3p_ratio,req_3p_top,total_sec_headers,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,tls_version_max,tls_days_until_expiry,tls_cipher_fs_ratio,tls_cipher_weak_ratio,compliance_score,matches,violations,possible_transfer_violation,ok_cookie_ownership,ok_cookie_session_only,ok_consent_prior,ok_no_tracking_claim,rights_pct,security_score,security_score_pct
sede.mscbs.gob.es,False,False,True,True,False,True,7,0,True,0,,,11.0,0.0,1.0,0.586,0.586,insuit.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,1.0,0.0,0.0
sede.red.gob.es,False,False,True,True,False,True,0,0,True,0,,,11.0,0.0,0.182,0.598,0.598,insuit.net;jsdelivr.net;googletagmanager.com;google-analytics.com;fonts.googleapis.com,5.0,1.0,1.0,0.0,1.0,1.0,1.0,TLS_1_2,270.0,0.4,0.6,0.0,0,1,,,,,False,0.0,5.0,0.8333333333333334
sede.seg-social.gob.es,False,True,True,True,False,True,4,0,True,0,,banner,28.0,0.0,0.607,0.542,0.542,insuit.net;googletagmanager.com;google-analytics.com;go-mpulse.net,5.0,1.0,1.0,0.0,1.0,1.0,1.0,TLS_1_3,82.0,0.667,0.0,0.5,1,1,,,False,True,,0.5714285714285714,5.0,0.8333333333333334
sede.sepe.gob.es,True,True,True,False,True,True,0,1,True,3,,banner,9.0,0.0,0.889,0.464,0.464,insuit.net;googletagmanager.com,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TLS_1_3,246.0,0.222,0.444,0.5,1,1,,,,True,False,0.0,0.0,0.0
sede.tea.hacienda.gob.es,False,False,True,False,False,True,0,0,True,0,,,1.0,0.0,1.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,TLS_1_3,88.0,0.4,0.0,1.0,1,0,,,,,True,0.0,2.0,0.3333333333333333
sede.transportes.gob.es,False,True,True,True,False,True,6,0,True,0,,none,2.0,0.0,0.0,0.397,0.397,fonts.googleapis.com;jsdelivr.net;googletagmanager.com,3.0,1.0,0.0,0.0,0.0,1.0,1.0,TLS_1_3,323.0,0.596,0.34,0.0,0,1,,,,,False,0.8571428571428571,3.0,0.5
sedecatastro.gob.es,True,False,True,True,True,True,5,2,True,2,NONE,,3.0,0.0,1.0,0.409,0.409,google-analytics.com;googletagmanager.com;fonts.googleapis.com,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.5,1,1,True,,,,False,0.7142857142857143,1.0,0.16666666666666666
sedeminhap.gob.es,True,False,True,True,True,True,11,1,True,2,INTRA_EU,,,,,,,,,,,,,,,,,,,0.0,0,2,False,,,,False,1.5714285714285714,0.0,0.0
seguridadaerea.gob.es,True,True,False,False,True,True,5,3,True,2,,none,835.0,0.011,0.372,0.626,0.626,twitter.com;addtoany.com;ajax.googleapis.com;google-analytics.com;googletagmanager.com,2.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,False,,,0.7142857142857143,2.0,0.3333333333333333
servicios.administraciondigital.gob.es,False,True,True,False,False,True,0,0,True,0,,scroll,26.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TLS_1_2,291.0,0.636,0.364,,0,0,,,,,,0.0,0.0,0.0
transparencia.gob.es,True,True,True,True,True,True,0,0,True,0,,scroll,14.0,0.0,0.286,0.359,0.359,google.com;googletagmanager.com;doubleclick.net;google.es,3.0,1.0,0.0,0.0,0.0,1.0,1.0,TLS_1_3,53.0,0.5,0.0,0.0,0,1,,,False,,,0.0,3.0,0.5
transportes.gob.es,False,False,True,True,False,True,4,0,True,0,,,3.0,0.0,0.0,0.692,0.696,gstatic.com;google.com;fonts.googleapis.com;ajax.googleapis.com;mitma.gob.es,4.0,1.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0,1,,,,,False,0.5714285714285714,4.0,0.6666666666666666
violenciagenero.igualdad.gob.es,True,False,True,False,False,True,0,0,True,0,,,18.0,0.5,0.0,0.729,0.729,fontawesome.com;gstatic.com;cloudflare.com;google-analytics.com;google.com,6.0,1.0,1.0,1.0,1.0,1.0,1.0,TLS_1_3,54.0,0.583,0.333,0.0,0,1,,,,,False,0.0,6.0,1.0
